Program Time [s],data 0
743.141,1800
743.141,2419
743.219,2394
743.219,2392
743.219,2401
743.219,2407
743.219,2397
743.219,2391
743.219,2402
743.219,2391
743.219,2367
743.219,2335
743.286,2358
743.286,2385
743.286,2415
743.286,2431
743.286,2441
743.286,2453
743.286,2475
743.286,2494
743.286,2495
743.286,2471
743.286,2455
743.353,2461
743.353,2475
743.353,2485
743.353,2491
743.353,2505
743.353,2507
743.353,2479
743.353,2459
743.353,2446
743.353,2459
743.353,2469
743.419,2469
743.419,2472
743.419,2485
743.419,2492
743.419,2504
743.419,2505
743.419,2504
743.419,2479
743.419,2431
743.419,2405
743.486,2447
743.486,2430
743.486,2413
743.486,2379
743.486,2347
743.486,2347
743.486,2398
743.486,2439
743.486,2457
743.486,2491
743.486,2507
743.553,2509
743.553,2510
743.553,2536
743.553,2579
743.553,2603
743.553,2615
743.553,2629
743.553,2621
743.553,2587
743.553,2513
743.553,2461
743.617,2429
743.617,2410
743.617,2350
743.617,2235
743.617,2142
743.617,2123
743.617,2120
743.617,2099
743.617,2088
743.617,1543
743.694,1705
743.694,1747
743.694,1805
743.694,1885
743.694,1949
743.694,1976
743.694,2003
743.694,2005
743.694,1995
743.694,1983
743.761,2012
743.761,2023
743.761,2019
743.761,1993
743.761,1957
743.761,1939
743.761,1947
743.761,1951
743.761,1945
743.761,1929
743.761,1927
743.828,1933
743.828,1939
743.828,1959
743.828,1976
743.828,1995
743.828,1979
743.828,1980
743.828,1995
743.828,1996
743.828,1977
743.828,1940
743.894,1928
743.894,1949
743.894,1967
743.894,1973
743.894,1963
743.894,1937
743.894,1929
743.894,1914
743.894,1912
743.894,1916
743.961,1908
743.961,1868
743.961,1831
743.961,1792
743.961,1754
743.961,1723
743.961,1675
743.961,1638
743.961,1643
743.961,1623
743.961,1583
744.028,1559
744.028,1514
744.028,1479
744.028,1483
744.028,1499
744.028,1503
744.028,1489
744.028,1453
744.028,1436
744.028,1427
744.028,1407
744.091,1389
744.091,1387
744.091,1401
744.091,1421
744.091,1419
744.091,1391
744.091,1355
744.091,1320
744.091,1298
744.091,1072
744.169,1034
744.169,1049
744.169,1070
744.169,1095
744.169,1115
744.169,1141
744.169,1149
744.169,1174
744.169,1229
744.169,1272
744.236,1292
744.236,1295
744.236,1297
744.236,1290
744.236,1245
744.236,1189
744.236,1159
744.236,1150
744.236,1129
744.236,1071
744.236,1011
744.302,951
744.302,904
744.302,889
744.302,892
744.302,910
744.302,919
744.302,918
744.302,922
744.302,933
744.302,936
744.302,943
744.302,926
744.302,907
744.369,903
744.369,911
744.369,895
744.369,853
744.369,811
744.369,825
744.369,887
744.369,941
744.369,1637
744.369,1385
744.369,1055
744.369,765
744.436,623
744.436,569
744.436,575
744.436,617
744.436,677
744.436,745
744.436,791
744.436,811
744.436,797
744.436,764
744.436,777
744.436,855
744.436,957
744.502,1019
744.502,1041
744.502,1032
744.502,1043
744.502,1067
744.503,1100
744.503,1107
744.503,1095
744.503,1109
744.503,1113
744.569,1113
744.569,1108
744.569,1110
744.569,1135
744.569,1145
744.569,1150
744.569,1163
744.569,1167
744.569,1181
744.569,1182
744.569,1163
744.636,1161
744.636,1171
744.636,1194
744.636,1223
744.636,1304
744.636,1307
744.636,1324
744.636,1327
744.636,1338
744.636,1370
744.636,1385
744.702,1384
744.702,1367
744.702,1355
744.702,1365
744.702,1369
744.702,1359
744.702,1339
744.702,1322
744.703,1320
744.703,1300
744.717,1261
744.717,1239
744.717,1163
744.796,1132
744.796,1131
744.796,1140
744.796,1131
744.796,1133
744.796,1145
744.796,1157
744.796,1145
744.796,1141
744.796,1147
744.863,1166
744.863,1173
744.863,1157
744.863,1149
744.863,1159
744.863,1167
744.863,1160
744.863,1146
744.863,1167
744.863,1191
744.863,1197
744.929,1197
744.929,1183
744.929,1178
744.929,1180
744.929,1179
744.929,1191
744.929,1212
744.929,1260
744.929,1319
744.929,1365
744.929,1381
744.996,1373
744.996,1369
744.996,1380
744.996,1385
744.996,1407
744.996,1448
744.996,1498
744.996,1531
744.996,1531
744.996,1485
745.063,1165
745.063,1133
745.063,1132
745.063,1166
745.063,1208
745.063,1241
745.063,1255
745.063,1227
745.063,1207
745.063,1223
745.063,1227
745.129,1211
745.129,1189
745.129,1165
745.129,1125
745.129,1093
745.129,1107
745.129,1145
745.129,1200
745.129,1237
745.129,1315
745.129,1469
745.193,1714
745.193,2055
745.193,2361
745.193,2397
745.193,2237
745.193,2007
745.193,1689
745.193,1333
