Program Time [s],data 0
1083.65,2457
1083.65,2607
1083.65,2405
1083.65,2089
1083.65,1995
1083.65,1973
1083.72,1811
1083.72,1693
1083.72,1683
1083.72,1575
1083.72,1467
1083.72,1523
1083.72,1701
1083.72,1884
1083.72,2040
1083.72,2111
1083.72,2164
1083.79,2255
1083.79,2361
1083.79,2459
1083.79,2343
1083.79,2156
1083.79,2213
1083.79,2299
1083.79,2055
1083.79,1719
1083.79,1590
1083.79,1588
1083.85,1604
1083.85,1615
1083.85,1597
1083.85,1648
1083.85,1871
1083.85,2069
1083.85,2309
1083.85,2665
1083.85,3161
1083.85,3704
1083.92,827
1083.92,727
1083.92,873
1083.92,1141
1083.92,1379
1083.92,1525
1083.92,1589
1083.92,1635
1083.92,1711
1083.92,1827
1083.92,1997
1083.99,2297
1083.99,2469
1083.99,2443
1083.99,2278
1083.99,1932
1083.99,1621
1083.99,1499
1083.99,1527
1083.99,1555
1083.99,1587
1083.99,1689
1084.05,1855
1084.05,1971
1084.05,1941
1084.06,1880
1084.06,1865
1084.06,1875
1084.06,1925
1084.06,2031
1084.06,2201
1084.06,2341
1084.06,1518
1084.13,1750
1084.13,1695
1084.13,1695
1084.13,1611
1084.13,1423
1084.13,1385
1084.13,1496
1084.13,1599
1084.13,1636
1084.13,1520
1084.2,1231
1084.2,982
1084.2,907
1084.2,1031
1084.2,1289
1084.2,1563
1084.2,1751
1084.2,1759
1084.2,1592
1084.2,1499
1084.2,1548
1084.27,1613
1084.27,1770
1084.27,1982
1084.27,2030
1084.27,1751
1084.27,1454
1084.27,1191
1084.27,979
1084.27,957
1084.27,1304
1084.27,1674
1084.33,1699
1084.33,1469
1084.33,1305
1084.33,1353
1084.33,1576
1084.33,1853
1084.33,2045
1084.33,2171
1084.33,1987
1084.33,1519
1084.33,1400
1084.4,1591
1084.4,1737
1084.4,1805
1084.4,1805
1084.4,1756
1084.4,1802
1084.4,1893
1084.4,1883
1084.4,1834
1084.4,1951
1084.4,2315
1084.47,2283
1084.47,1799
1084.47,1379
1084.47,1226
1084.47,1263
1084.47,1433
1084.47,1687
1084.47,1913
1084.47,1926
1084.47,1748
1084.53,1583
1084.53,1501
1084.53,1553
1084.53,1673
1084.53,1820
1084.53,1943
1084.53,1931
1084.53,1835
1084.53,1802
1084.53,1983
1084.53,1255
1084.61,1871
1084.61,2045
1084.61,2099
1084.61,1973
1084.61,1733
1084.61,1551
1084.61,1427
1084.61,1415
1084.61,1449
1084.61,1509
1084.68,1593
1084.68,1653
1084.68,1718
1084.68,1759
1084.68,1773
1084.68,1797
1084.68,1837
1084.68,1929
1084.68,2132
1084.68,2341
1084.68,2375
1084.74,2299
1084.74,2249
1084.74,2090
1084.74,1773
1084.74,1624
1084.74,1707
1084.74,1755
1084.74,1702
1084.74,1705
1084.74,1739
1084.74,1758
1084.81,1803
1084.81,1864
1084.81,1975
1084.81,2067
1084.81,2069
1084.81,2099
1084.81,2122
1084.81,2119
1084.81,2157
1084.81,2231
1084.88,1658
1084.88,1831
1084.88,2027
1084.88,2091
1084.88,2029
1084.88,1988
1084.88,2003
1084.88,2042
1084.88,2104
1084.88,2119
1084.88,2102
1084.94,2077
1084.94,2091
1084.94,2218
1084.94,2254
1084.94,2131
1084.94,2037
1084.94,1950
1084.94,1673
1084.94,1401
1084.94,1299
1084.94,1388
1085.01,1589
1085.01,1721
1085.01,1805
1085.01,1818
1085.01,1863
1085.01,1967
1085.01,2039
1085.01,2007
1085.01,1931
1085.01,2008
1085.09,1992
1085.09,1897
1085.09,1807
1085.09,1837
1085.09,2103
1085.09,2335
1085.09,2186
1085.09,1791
1085.09,1626
1085.09,1797
1085.15,1955
1085.15,1931
1085.15,1872
1085.15,1832
1085.15,1832
1085.15,1812
1085.15,1831
1085.15,1887
1085.15,1999
1085.15,2123
1085.15,2101
1085.22,2011
1085.22,1949
1085.22,2072
1085.22,2222
1085.22,2187
1085.22,2066
1085.22,1816
1085.22,1545
1085.22,1519
1085.22,1707
1085.22,1783
1085.29,1705
1085.29,1701
1085.29,1763
1085.29,1821
1085.29,1868
1085.29,1881
1085.29,1901
1085.29,1927
1085.29,1945
1085.29,1999
1085.35,2141
1085.35,2403
1085.35,2623
1085.35,2822
1085.35,2923
1085.35,2840
1085.35,2506
1085.35,1989
1085.35,1596
1085.35,1553
1085.35,1615
1085.42,1497
1085.42,1267
1085.42,1142
1085.42,1200
1085.42,1332
1085.42,1433
1085.42,1547
1085.42,1623
1085.42,1629
1085.42,1709
1085.42,1882
1085.48,1907
1085.48,1869
1085.48,1883
1085.48,1929
1085.48,1979
1085.48,2066
1085.48,2147
1085.48,2087
1085.48,1925
1085.48,2230
1085.56,1947
1085.56,1898
1085.56,2009
1085.56,2157
1085.56,2261
1085.56,2395
1085.56,2419
1085.56,2228
1085.56,1972
1085.56,1853
1085.63,2003
1085.63,2069
1085.63,2020
1085.63,1963
1085.63,1931
1085.63,1880
1085.63,1819
1085.63,1834
1085.63,1849
1085.63,1819
1085.63,1704
1085.69,1573
1085.69,1515
1085.69,1573
1085.69,1716
1085.69,1877
1085.69,2007
1085.69,1967
1085.69,1827
1085.69,1815
1085.69,1894
1085.69,1992
1085.76,2085
1085.76,2120
1085.76,2014
1085.76,1890
1085.76,1781
1085.76,1655
1085.76,1519
1085.76,1471
1085.76,1598
1085.76,1741
1085.83,2111
1085.83,1849
1085.83,1663
1085.83,1773
1085.83,2025
1085.83,1979
1085.83,1788
1085.83,1699
1085.83,1735
1085.83,1775
1085.83,1787
1085.89,1779
1085.89,1802
1085.89,1863
1085.89,1907
1085.89,2007
1085.89,2028
1085.89,1908
1085.89,1768
1085.89,1768
1085.89,1867
1085.89,1944
1085.96,2005
1085.96,2159
1085.96,2303
1085.96,2149
1085.96,1891
1085.96,1747
1085.96,1820
1085.96,1997
1085.96,2151
1085.96,1577
1086.04,3042
1086.04,2839
1086.04,2702
1086.04,2309
1086.04,1621
1086.04,1163
1086.04,1021
1086.04,957
1086.04,1019
1086.04,1171
1086.1,1317
1086.1,1407
1086.1,1483
1086.1,1551
1086.1,1671
1086.1,1831
1086.1,1983
1086.1,1981
1086.1,1843
1086.1,1811
1086.1,1849
1086.17,1879
1086.17,1907
1086.17,1933
1086.17,1963
1086.17,1849
1086.17,1772
1086.17,1789
1086.17,1831
1086.17,1907
1086.17,2079
1086.17,2285
1086.24,2270
1086.24,2027
1086.24,1851
1086.24,1867
1086.24,1993
1086.24,2119
1086.24,2111
1086.24,2035
1086.24,1979
1086.24,2007
1086.3,2072
1086.3,2059
1086.3,2175
1086.3,2293
1086.3,2398
1086.3,2473
1086.3,2475
1086.3,2358
1086.3,2237
1086.3,2111
1086.3,2063
1086.37,2166
1086.37,2328
1086.37,2361
1086.37,2325
1086.37,2277
1086.37,2239
1086.37,2271
1086.37,2363
1086.37,2377
1086.37,2253
1086.37,2089
1086.43,1903
1086.43,1821
1086.43,1849
1086.43,1977
1086.43,2029
1086.43,1893
1086.43,1722
1086.43,1593
1086.43,1593
1086.43,1639
1086.51,2116
1086.51,2021
1086.51,1743
1086.51,1543
1086.51,1523
1086.51,1617
1086.51,1819
1086.51,2043
1086.51,2187
1086.51,2141
1086.58,1947
1086.58,1673
1086.58,1514
1086.58,1577
1086.58,1663
1086.58,1735
1086.58,1768
1086.58,1756
1086.58,1756
1086.58,1807
1086.58,1962
1086.64,2158
1086.64,2088
1086.64,1809
1086.64,1607
1086.64,1613
1086.64,1807
1086.64,1909
1086.64,1874
1086.64,1816
1086.64,1737
1086.64,1715
1086.71,1849
1086.71,2021
1086.71,2153
1086.71,2238
1086.71,2364
1086.71,2509
1086.71,2483
1086.71,2203
1086.71,1834
1086.71,1633
1086.78,1818
1086.78,1717
1086.78,1617
1086.78,1635
1086.78,1733
1086.78,1787
1086.78,1787
1086.78,1772
1086.78,1804
1086.78,1823
1086.78,1754
1086.84,1708
1086.84,1831
1086.84,2023
1086.84,1957
1086.84,1700
1086.84,1546
1086.84,1568
1086.84,1758
1086.84,2095
1086.84,2475
1086.84,2751
1086.91,2809
1086.91,2771
1086.91,2715
1086.91,2687
1086.91,2469
1086.91,2019
1086.91,1497
1086.91,1131
1086.91,1035
1086.91,1951
1086.99,1958
1086.99,2026
1086.99,2063
1086.99,2127
1086.99,2321
1086.99,2392
1086.99,2231
1086.99,2099
1086.99,2057
1086.99,2093
1087.05,2135
1087.05,2183
1087.05,2163
1087.05,2121
1087.05,2136
1087.05,2152
1087.05,2131
1087.05,2079
1087.05,2055
1087.05,2155
1087.05,2246
1087.12,2252
1087.12,2155
1087.12,1957
1087.12,1900
1087.12,1943
1087.12,2031
1087.12,2077
1087.12,2012
1087.12,1935
1087.12,1941
1087.12,1879
1087.19,1703
1087.19,1520
1087.19,1435
1087.19,1526
1087.19,1763
1087.19,1979
1087.19,2083
1087.19,2139
1087.19,1999
1087.19,1791
1087.25,1833
1087.25,1843
1087.25,1871
1087.25,1951
1087.25,1951
1087.25,1855
1087.25,1719
1087.25,1685
1087.25,1823
1087.25,1962
1087.25,1939
1087.32,1863
1087.32,1670
1087.32,1543
1087.32,1567
1087.32,1693
1087.32,1763
1087.32,1803
1087.32,1851
1087.32,1875
1087.32,1945
1087.32,1933
1087.38,1917
1087.38,2035
1087.38,2215
1087.38,2203
1087.38,1819
1087.38,1369
1087.38,1225
1087.38,1469
1087.38,1829
1087.38,1831
1087.46,2123
1087.46,2238
1087.46,2137
1087.46,1864
1087.46,1487
1087.46,1359
1087.46,1529
1087.46,1750
1087.46,1829
1087.46,1733
1087.53,1591
1087.53,1684
1087.53,1862
1087.53,1930
1087.53,1863
1087.53,1835
1087.53,1867
1087.53,1896
1087.53,1967
1087.53,2084
1087.53,2121
1087.59,2006
1087.59,1773
1087.59,1531
1087.59,1368
1087.59,1459
1087.59,1759
1087.59,1941
1087.59,1891
1087.59,1767
1087.59,1725
1087.59,1869
1087.66,2247
1087.66,2830
1087.66,3512
1087.66,3624
1087.66,3255
1087.66,2927
1087.66,2595
1087.66,2039
1087.66,1309
1087.66,821
1087.73,1763
1087.73,1835
1087.73,1799
1087.73,1774
1087.73,1967
1087.73,2217
1087.73,2252
1087.73,1963
1087.73,1655
1087.73,1533
1087.73,1577
1087.79,1811
1087.79,2186
1087.79,2339
1087.79,2089
1087.79,1868
1087.79,1863
1087.79,2087
1087.79,2258
1087.79,2183
1087.79,2009
1087.79,1804
1087.86,1693
1087.86,1743
1087.86,1845
1087.86,1925
1087.86,2019
1087.86,2207
1087.86,2335
1087.86,2264
1087.86,2027
1087.86,1342
1087.94,1917
1087.94,1815
1087.94,1773
1087.94,1929
1087.94,1976
1087.94,1805
1087.94,1609
1087.94,1484
1087.94,1589
1087.94,1775
1088,1839
1088,1837
1088,1848
1088,1848
1088,1684
1088,1513
1088,1577
1088,1879
1088,2041
1088,1867
1088,1620
1088.07,1629
1088.07,1715
1088.07,1820
1088.07,1989
1088.07,2008
1088.07,1821
1088.07,1597
1088.07,1507
1088.07,1579
1088.07,1763
1088.07,1938
1088.14,2035
1088.14,1947
1088.14,1785
1088.14,1660
1088.14,1554
1088.14,1561
1088.14,1779
1088.14,1991
1088.14,2031
1088.14,1811
1088.2,1691
1088.2,1751
1088.2,1894
1088.2,1895
1088.2,1753
1088.2,1631
1088.2,1683
1088.2,1849
1088.2,1933
1088.2,1843
1088.2,1752
1088.27,1740
1088.27,1812
1088.27,1833
1088.27,1789
1088.27,1683
1088.27,1653
1088.27,1786
1088.27,1943
1088.27,1934
1088.27,1877
1088.27,1771
1088.33,1766
1088.33,1724
1088.33,1589
1088.33,1637
1088.33,1701
1088.33,1807
1088.33,1863
1088.33,1726
1088.33,1545
1088.33,1245
1088.41,1577
1088.41,1688
1088.41,1897
1088.41,2021
1088.41,1995
1088.41,1931
1088.41,1881
1088.41,2012
1088.41,2550
1088.41,3063
1088.48,2749
1088.48,1901
1088.48,1197
1088.48,995
1088.48,1229
